Team,Date,Tournament,Match,Possession Time,Scores,Tries,Conversions,Passes,Contestable_Restart_Win_Pct,Pens_Frees Against,Ruck_Maul,Yellow_Red Cards,TurnoversConceded,Ruck_retention,Lineout_Win_Pct,Scrum_Win_Pct
ARGENTINA,2017-04-10,2017_Hong_Kong,Match_20_USA_vs_Argentina,191,5,1,0.0,31,0.0,2,1,0,3,0.9375,1.0,1.0
USA,2017-04-10,2017_Hong_Kong,Match_31_USA_vs_England,248,27,5,0.2,42,0.0,3,3,0,3,1.0,1.0,1.0
ENGLAND,2017-04-10,2017_Hong_Kong,Match_31_USA_vs_England,266,7,1,1.0,36,0.0,2,1,0,5,0.9090909090909091,1.0,1.0
USA,2017-04-10,2017_Hong_Kong,Match_40_USA_vs_South_Africa,205,24,4,0.5,53,33.33333333333333,4,2,0,4,1.0,0.0,1.0
SOUTH AFRICA,2017-04-10,2017_Hong_Kong,Match_40_USA_vs_South_Africa,220,29,5,0.4,44,200.0,1,0,0,3,0.9166666666666666,0.0,1.0
AUSTRALIA,2017-04-10,2017_Hong_Kong,Match_44_Australia_vs_USA,229,26,4,0.75,33,50.0,4,2,0,0,0.7272727272727273,1.0,0.0
USA,2017-04-10,2017_Hong_Kong,Match_44_Australia_vs_USA,219,19,3,0.6666666666666666,28,25.0,1,1,0,3,1.0,0.0,0.0
USA,2017-04-10,2017_Hong_Kong,Match_4_USA_vs_Russia,132,14,2,1.0,26,50.0,6,6,0,5,1.0,1.0,0.0
RUSSIA,2017-04-10,2017_Hong_Kong,Match_4_USA_vs_Russia,308,7,1,1.0,52,0.0,2,2,0,1,0.9230769230769231,1.0,1.0
USA,2017-03-06,2017_Las_Vegas,Match_13_USA_vs_Chile,219,31,5,0.6,26,75.0,2,2,0,4,0.8,0.0,1.0
CHILE,2017-03-06,2017_Las_Vegas,Match_13_USA_vs_Chile,209,0,0,0.0,25,0.0,2,2,0,3,0.8,1.0,0.5
ENGLAND,2017-03-06,2017_Las_Vegas,Match_22_England_vs_USA,182,24,4,0.5,27,33.33333333333333,4,3,0,1,0.8333333333333334,0.0,1.0
USA,2017-03-06,2017_Las_Vegas,Match_22_England_vs_USA,223,17,3,0.3333333333333333,34,0.0,3,2,0,3,0.8888888888888888,1.0,0.0
ARGENTINA,2017-03-06,2017_Las_Vegas,Match_30_Argentina_vs_USA,241,19,3,0.6666666666666666,36,0.0,2,2,0,0,0.8181818181818182,0.5,0.0
USA,2017-03-06,2017_Las_Vegas,Match_30_Argentina_vs_USA,153,21,3,1.0,19,25.0,5,3,0,4,0.5,1.0,0.0
SOUTH AFRICA,2017-03-06,2017_Las_Vegas,Match_39_South_Africa_vs_USA,197,20,4,0.0,22,200.0,2,1,1,1,1.0,0.0,0.0
USA,2017-03-06,2017_Las_Vegas,Match_39_South_Africa_vs_USA,162,17,3,0.3333333333333333,22,66.66666666666666,2,2,0,1,0.7142857142857143,0.0,1.0
USA,2017-03-06,2017_Las_Vegas,Match_44_USA_vs_New_Zealand,224,19,3,0.6666666666666666,31,0.0,3,2,0,3,0.875,1.0,1.0
NEW ZEALAND,2017-03-06,2017_Las_Vegas,Match_44_USA_vs_New_Zealand,179,15,3,0.0,33,0.0,4,3,1,4,1.0,0.0,1.0
USA,2017-03-06,2017_Las_Vegas,Match_5_USA_vs_Samoa,217,26,4,0.75,44,50.0,2,2,0,2,1.0,0.6666666666666666,1.0
